,0,1,2,3,4,5,6,7,8,9
avg(6000),11.9018875,0.1435125,-11.20425,-18.9830125,-21.2653,-12.815025,-3.2917125,9.498125,16.515575,18.06345
avg(6001),4.3052625,16.37185,17.8895875,14.62705,4.015575,-9.169075,-19.1124125,-23.6118,-16.765925,-8.5781375
avg(6002),-19.3899875,-18.4536875,-7.68155,4.03715,16.98745,20.6061,19.8621625,10.6069625,-3.8732875,-13.60335
avg(6003),-13.8834125,-1.961125,9.9489625,17.672425,17.210275,11.64525,-0.577625,-12.372325,-20.0099125,-19.7448625
avg(6004),-10.4602875,-19.093225,-22.8346125,-17.4001,-6.40635,6.493375,15.320775,18.9406375,13.4192,2.5856875
avg(6005),22.4897,18.20935,9.3797,-4.093025,-14.341125,-20.82155,-16.45625,-7.5726625,5.9047375,16.2075625
avg(6006),17.4462875,8.8051375,-5.694525,-16.3612375,-23.7499,-20.135,-11.487025,2.98045,13.7071875,21.0094625
avg(6007),1.398375,13.269125,22.0674625,20.904525,13.184925,-0.0547625,-11.924525,-20.5955,-19.4615375,-11.7124875
avg(6008),-19.70455,-22.8365375,-17.240275,-5.89085,8.9154625,18.138225,21.2770875,15.6130125,4.24135,-10.4898
avg(6009),8.1966,16.398275,17.4853875,11.8698,2.365625,-10.3255,-18.3126125,-19.4571125,-13.886525,-4.3394625
avg(6010),-17.9288,-15.4437875,-6.6021375,5.494375,13.5893875,17.6298625,15.0000625,6.2804875,-5.8785875,-13.8499125
avg(6011),9.2025375,-1.6798,-12.085875,-19.015825,-17.8199625,-9.3055125,1.6030875,11.9340125,18.977675,17.623075
avg(6012),2.1466625,-9.225275,-17.4217625,-17.9422375,-13.3234875,-2.2333875,9.2748375,17.4002375,17.8855375,13.3093875
avg(6013),-16.6654625,-11.6312375,0.0124625,8.629375,16.346925,13.7755,8.58415,-3.0000125,-11.5533125,-19.400875
avg(6014),12.0501125,17.8827875,13.7764125,5.4265875,-7.0109625,-15.0450375,-20.72105,-16.6336875,-8.32815,4.204025
avg(6015),-10.1446125,3.0640875,12.7939875,19.206375,15.5833125,7.73185,-5.44295,-15.1470625,-21.5784125,-17.893475
avg(6016),-13.94485,-21.914275,-21.3997,-14.32435,-1.9461375,10.09665,18.04995,17.50945,10.43375,-1.997475
avg(6017),21.9653625,15.6284375,4.6935125,-8.953075,-16.9996375,-20.185275,-13.89535,-2.9547,10.7042875,18.7838375
avg(6018),-8.5088875,-17.5241625,-22.691875,-18.4731625,-8.41125,5.8838625,14.712075,20.0028375,15.678575,5.6690125
avg(6019),22.093,18.5362875,10.040675,-3.0024,-13.089175,-20.680575,-17.001,-8.626425,4.5043375,14.496
avg(6020),-15.1411,-2.9271875,10.7247125,19.5254375,19.8117,13.4951625,1.2669125,-12.3300375,-21.11075,-21.2962875
avg(6021),18.67155,15.6869875,6.9745,-4.6351875,-13.1266125,-18.73975,-15.69965,-7.0122,4.5909875,13.1112875
avg(6022),-8.8922,-16.8197625,-17.51015,-14.4368,-4.4305,5.96815,13.8299375,14.5372,11.4986875,1.4880625
avg(6023),-12.95575,-1.028325,8.9765875,17.7066625,15.7287,10.033375,-1.8763875,-11.872525,-20.569275,-18.559425
avg(6024),-1.1947375,-12.85965,-21.3968125,-21.248275,-14.3094,-1.2202875,10.5581125,18.9633,18.904175,12.007425
avg(6025),17.61775,20.4781,13.9472875,2.30185,-11.6067375,-21.50865,-24.379475,-17.7690875,-6.1748375,7.7690875
avg(6026),-17.5404125,-7.816875,7.3302375,18.0617875,23.7901875,19.2759125,9.5191625,-5.6115875,-16.3464,-22.1250875
avg(6027),18.016225,19.437525,13.649875,1.6160625,-11.788875,-20.8012625,-22.14785,-16.3543875,-4.3563375,9.1406375
avg(6028),-15.84045,-5.4159,8.429125,17.5081875,22.138725,17.3578625,6.7980625,-7.0408375,-16.0690875,-20.7115625
avg(6029),-3.3756,-14.9748625,-22.965825,-20.139975,-11.710075,1.741575,13.4045125,21.415275,18.5558625,10.118
avg(6030),5.4865,15.3024125,19.8686125,16.204525,5.8365625,-8.1476125,-18.0433875,-22.59615,-18.9256875,-8.642425
avg(6031),-20.3420625,-17.769775,-8.7411375,3.9694,14.8290875,21.7577625,19.21555,10.1799875,-2.5545,-13.32935
avg(6032),13.2539875,1.23465,-12.1503375,-21.047225,-21.624225,-14.893525,-2.847725,10.566525,19.461175,20.086575
avg(6033),5.9810375,-7.9822875,-17.3019125,-23.0664125,-18.426275,-8.7338125,5.324425,14.5065875,20.2573625,15.7894125
avg(6034),14.279825,21.9840375,19.0275125,11.0767,-2.17995,-12.97335,-20.564375,-17.51565,-9.7165625,3.5106375
avg(6035),-21.5906375,-15.5335375,-3.5115375,10.2572,18.8019,20.0854125,13.865525,1.8600125,-11.71465,-20.4276125
avg(6036),15.9266875,16.1471625,13.03745,1.66965,-9.050625,-17.845225,-19.0019,-13.76145,-4.2836625,7.1846
avg(6037),-15.3521625,-6.4009625,4.4088625,14.401,16.7483625,14.9294,6.4190875,-5.2896,-14.604175,-17.087525
avg(6038),-1.680475,-11.0610375,-18.8425125,-17.4949625,-9.12845,1.5924625,11.4796875,18.056075,17.8529625,8.8961375
avg(6039),-10.15375,-18.7746375,-21.048225,-15.0533125,-4.2608,7.7721625,16.4565875,18.7026625,12.8048125,1.9886
avg(6040),19.3836875,14.7234375,5.9912125,-7.8464875,-18.4641625,-23.3214125,-18.6046875,-9.9023625,3.908725,14.582475
avg(6041),-10.1017,3.797625,14.677225,21.5987375,20.2246375,11.95305,-2.0640625,-12.8565125,-19.800925,-18.489975
avg(6042),-21.6344625,-17.0121375,-5.550575,8.14645,16.99045,18.91505,14.2910625,2.859275,-10.85925,-19.710825
avg(6043),7.0660625,-5.9304,-14.8336,-20.032275,-16.3160875,-5.657525,7.3424375,16.2242875,21.4915125,17.7634625
avg(6044),12.2830875,20.9148875,18.7387625,10.770725,-1.3945875,-13.9120875,-22.4985,-20.288525,-12.36305,-0.1815875
avg(6045),-19.3058875,-16.3684625,-5.853425,7.3532,16.6578125,17.2705,14.405175,3.820175,-9.410975,-18.6344625
avg(6046),7.0148,-4.4708875,-13.1130125,-18.3667375,-17.5292375,-7.2184125,4.060975,12.8985875,17.9238,17.208425
avg(6047),10.9351125,19.9532125,18.4527375,10.7089125,0.340675,-11.1231625,-19.9613125,-18.5728,-10.6360125,-0.42185
avg(6048),17.8473875,8.2366,-4.921975,-16.3233875,-23.146025,-20.5725375,-10.98115,2.2014875,13.6206375,20.4374125
avg(6049),0.9198875,13.50135,21.3378625,20.6426125,12.6979,0.483025,-12.032875,-19.9182375,-19.1830875,-11.2769625
avg(6050),-19.4102625,-22.350825,-17.3278,-5.8057,8.5652375,17.8359625,20.7693,15.8072125,4.2115875,-10.0895
avg(6051),13.5991625,3.6658,-11.4969875,-19.1672125,-23.7406625,-16.364125,-4.9407875,8.2067375,18.3179125,19.287925
avg(6052),4.701325,15.8513375,21.6994875,15.0312625,7.2611,-9.6603,-18.855975,-25.861575,-19.8095875,-9.5103375
avg(6053),-20.517125,-20.76085,-10.56175,3.752025,15.4322,23.7769375,20.4367875,13.59955,-2.7015,-13.143325
avg(6054),-17.8046375,-7.6031625,5.1727375,14.7343875,20.376625,17.780425,7.6152875,-5.1456125,-14.708875,-20.3486875
avg(6055),15.928725,17.9126375,13.641575,3.1082875,-10.1176125,-18.911725,-20.8499625,-16.62865,-6.1014875,7.1854
avg(6056),-0.6235125,-12.78695,-21.48125,-20.812175,-13.4627875,-2.2712375,9.80685,18.6081875,17.9997875,10.5323
avg(6057),-11.8875375,-19.050275,-19.3646625,-11.0041375,-0.2427,9.8432875,17.079375,17.3572375,9.067275,-1.7827125
avg(6058),16.8347,11.9805125,3.013875,-7.9093,-16.734475,-17.1856875,-12.3689,-3.473425,7.6165875,16.25575
avg(6059),-6.5894875,5.30135,14.8473,17.69015,15.9901125,6.5112375,-5.3603,-14.79565,-17.884975,-15.883025
avg(6060),14.5336625,5.214525,-8.2570625,-17.5578,-21.9025625,-16.8597625,-7.55805,6.0001625,15.2386,19.559475
avg(6061),1.596925,12.4693375,19.7693375,16.8684875,8.80825,-5.5562875,-16.380925,-23.6549125,-20.7257375,-12.62665
avg(6062),-19.4907375,-19.796125,-12.3602125,0.5562125,12.8702375,21.285425,21.6208875,14.0322875,1.1396,-11.112625
